Name;Position;PTS;TRB;AST;BLK;STL
Jalen Duren;C;9;8;1;0;0
Charles Bassey;C;5;5;1;0;0
Wendell Carter Jr.;C;15;8;2;0;0
Bogdan Bogdanovi?;SG;14;3;2;0;0
Bobby Portis;PF;14;9;1;0;0
Cody Zeller;C;6;4;0;0;0
Scottie Barnes;PF;15;6;4;0;1
Jamal Cain;SF;5;2;0;0;0
Mamadi Diakite;PF;2;1;0;0;0
Torrey Craig;SF;7;5;1;0;0
Khris Middleton;SF;15;4;4;0;0
Zion Williamson;PF;26;7;4;0;1
Day'Ron Sharpe;C;4;4;0;0;0
Grayson Allen;SG;10;3;2;0;0
Rui Hachimura;PF;11;4;0;0;0
Norman Powell;SG;17;2;1;0;0
Terry Rozier;SG;21;4;5;0;1
Deandre Ayton;C;18;10;1;0;0
Nathan Knight;PF;3;1;0;0;0
Haywood Highsmith;SF;4;3;0;0;0
Julius Randle;PF;25;10;4;0;0
Alex Len;C;1;2;0;0;0
Trey Lyles;PF;7;4;0;0;0
Stephen Curry;PG;29;6;6;0;0
Gorgui Dieng;C;3;3;1;0;0
Kobi Simmons;PG;1;0;1;0;0
Wenyen Gabriel;PF;5;4;0;0;0
Kyle Kuzma;PF;21;7;3;0;0
Jordan McLaughlin;PG;3;1;3;0;0
Malcolm Hill;SF;1;0;0;0;0
R.J. Hampton;PG;6;1;1;0;0
Th�o Maledon;PG;6;2;3;0;0
Kemba Walker;PG;8;1;2;0;0
Kevin Knox;PF;6;2;0;0;0
De'Anthony Melton;PG;10;4;2;0;1
Bol Bol;PF;9;5;1;1;0
Jarrell Brantley;PF;5;1;0;0;0
Bismack Biyombo;C;4;4;0;1;0
Nikola Joki?;C;24;11;9;0;1
Jalen Williams;SG;14;4;3;0;1
Trevor Hudgins;PG;1;0;0;0;0
Deonte Burton;SG;0;0;0;0;0
Facundo Campazzo;PG;1;0;1;0;0
Jeff Dowtin;PG;2;0;1;0;0
Goran Dragi?;PG;5;1;1;0;0
Isaiah Livers;PF;6;2;0;0;0
Stanley Umude;SG;2;0;0;1;1
Blake Wesley;SG;5;2;2;0;0
Victor Oladipo;SG;10;3;3;0;1
Jeenathan Williams;SG;10;3;2;0;0
Orlando Robinson;C;3;4;0;0;0
Neemias Queta;C;2;2;0;0;0
Delon Wright;PG;7;3;3;0;1
Kenneth Lofton Jr.;PF;5;2;0;0;0
Ja Morant;PG;26;5;8;0;1
CJ McCollum;SG;20;4;5;0;0
Marcus Smart;PG;11;3;6;0;1
Precious Achiuwa;C;9;6;0;0;0
Draymond Green;PF;8;7;6;0;1
Alec Burks;SG;12;3;2;0;0
Josh Giddey;SG;16;7;6;0;0
Otto Porter Jr.;SF;5;2;1;0;1
Chris Paul;PG;13;4;8;0;1
Cameron Johnson;PF;14;3;1;0;0
Wendell Moore Jr.;SG;1;0;0;0;0
Luke Kornet;C;3;2;0;0;0
Tyler Herro;SG;20;5;4;0;0
Jaden Springer;SG;2;0;0;0;0
Drew Eubanks;C;6;5;1;1;0
Caleb Martin;PF;9;4;1;0;1
Malcolm Brogdon;PG;14;4;3;0;0
Luka �amani?;PF;9;4;2;0;0
Josh Christopher;SG;5;1;1;0;0
Gary Payton II;PG;4;3;1;0;0
Nick Richards;C;8;6;0;1;0
Kevin Love;PF;7;5;1;0;0
Jaden Hardy;SG;8;1;1;0;0
Caris LeVert;SG;12;3;3;0;1
James Bouknight;SG;5;2;1;0;0
Zach LaVine;SG;24;4;4;0;0
Devin Booker;SG;27;4;5;0;1
Malaki Branham;SF;10;2;1;0;0
Austin Rivers;SG;4;1;1;0;0
Aaron Holiday;PG;3;1;1;0;0
Greg Brown III;PF;1;1;0;0;0
Jarrett Allen;C;14;9;1;1;0
Duane Washington Jr.;SG;7;1;2;0;0
Malachi Flynn;PG;4;1;1;0;0
DeAndre Jordan;C;5;5;0;0;0
Karl-Anthony Towns;PF;20;8;4;0;0
Joe Wieskamp;SF;1;0;0;0;0
Shai Gilgeous-Alexander;PG;31;4;5;1;1
Nikola Vu?evi?;C;17;11;3;0;0
Joe Ingles;SF;6;2;3;0;0
Matthew Dellavedova;PG;1;0;1;0;0
Collin Sexton;SG;14;2;2;0;0
A.J. Green;SG;4;1;0;0;0
Luke Kennard;SG;9;2;1;0;0
Theo Pinson;SG;2;1;1;0;0
Naz Reid;C;11;4;1;0;0
Jared Rhoden;SG;3;2;0;0;0
Willy Hernang�mez;C;6;4;0;0;0
Nerlens Noel;C;1;2;0;0;0
Dennis Smith Jr.;PG;8;3;4;0;1
Isaiah Hartenstein;C;5;6;1;0;0
Edmond Sumner;SG;7;1;1;0;0
Talen Horton-Tucker;SG;10;3;3;0;0
Joshua Primo;SG;7;3;4;0;0
Harrison Barnes;PF;15;4;1;0;0
Jalen Green;SG;22;3;3;0;0
Scotty Pippen Jr.;PG;2;0;0;0;0
Moses Moody;SG;4;1;0;0;0
Donte DiVincenzo;SG;9;4;3;0;1
Bennedict Mathurin;SF;16;4;1;0;0
Markelle Fultz;PG;14;3;5;0;1
Alondes Williams;SG;0;1;0;0;0
Grant Williams;PF;8;4;1;0;0
Trevor Keels;SG;1;0;0;0;0
Rodney McGruder;SG;5;2;0;0;0
Devon Dotson;PG;0;1;1;0;0
Kyle Anderson;PF;9;5;4;0;1
Tim Hardaway Jr.;SG;14;3;1;0;0
Lonnie Walker IV;SG;11;1;1;0;0
Romeo Langford;SG;6;2;1;0;0
Bam Adebayo;C;20;9;3;0;1
Trevelin Queen;SG;3;2;0;0;0
Tyrese Haliburton;PG;20;3;10;0;1
Kendrick Nunn;SG;6;1;0;0;0
Bryce McGowens;SG;5;2;1;0;0
Damian Lillard;PG;32;4;7;0;0
Chance Comanche;C;7;3;0;1;0
Max Christie;SG;3;1;0;0;0
Patrick Beverley;PG;5;3;2;0;0
Robin Lopez;C;3;1;0;0;0
Caleb Houstan;SF;3;1;0;0;0
Damion Lee;SG;8;3;1;0;0
Jrue Holiday;PG;19;5;7;0;1
Svi Mykhailiuk;SF;5;1;1;0;0
Thomas Bryant;C;8;4;0;0;0
Sam Hauser;PF;6;2;0;0;0
Kelly Olynyk;C;12;6;3;0;0
John Wall;PG;11;2;5;0;0
Aaron Gordon;PF;16;6;3;0;0
Justin Holiday;SG;4;0;0;0;0
Jason Preston;PG;2;1;1;0;0
Terence Davis;SG;6;2;1;0;0
P.J. Tucker;PF;3;3;0;0;0
Kevin Huerter;SG;15;3;2;0;1
Josh Hart;SF;9;7;3;0;1
Micah Potter;PF;3;2;0;0;0
Vernon Carey Jr.;C;0;1;0;0;0
Tobias Harris;PF;14;5;2;0;0
Anfernee Simons;SG;21;2;4;0;0
Chuma Okeke;SF;4;3;1;0;0
Jusuf Nurki?;C;13;9;2;0;0
Jonathan Isaac;PF;5;4;0;0;1
Daniel Theis;C;7;3;1;0;0
James Wiseman;C;9;5;0;0;0
Kyrie Irving;PG;27;5;5;0;1
Derrick Rose;PG;5;1;1;0;0
Andre Drummond;C;6;6;0;0;0
Evan Mobley;PF;16;9;2;1;0
Wesley Matthews;SG;3;2;0;0;0
Justise Winslow;SF;6;5;3;0;1
T.J. McConnell;PG;8;3;5;0;1
Devonte' Graham;PG;8;1;2;0;0
Jalen Smith;PF;9;5;1;0;0
Noah Vonleh;C;1;2;0;0;0
Gary Trent Jr.;SG;17;2;1;0;1
Danuel House Jr.;SF;4;1;0;0;0
Derrick White;SG;12;3;3;0;0
Anthony Edwards;SG;24;5;4;0;1
Davion Mitchell;PG;5;1;2;0;0
Ricky Rubio;PG;5;2;3;0;0
Chris Boucher;PF;9;5;0;0;0
Eugene Omoruyi;SF;6;2;0;0;0
Juancho Hernang�mez;PF;2;2;0;0;0
Robert Covington;PF;6;3;1;0;0
Kevin Durant;PF;27;6;4;1;0
Evan Fournier;SG;6;1;1;0;0
Jericho Sims;C;3;4;0;0;0
Darius Garland;PG;21;2;7;0;1
Shake Milton;SG;8;2;3;0;0
Josh Minott;SF;3;1;0;0;0
Luka Don?i?;PG;32;8;8;0;1
Frank Kaminsky;C;1;1;0;0;0
Christian Koloko;C;3;2;0;1;0
JD Davison;PG;1;0;0;0;0
Isaiah Mobley;PF;2;1;0;0;0
Devin Vassell;SG;18;3;3;0;1
Lindell Wigginton;PG;7;1;2;0;0
Jerami Grant;PF;20;4;2;0;0
Kira Lewis Jr.;PG;4;1;0;0;0
Georges Niang;PF;8;2;1;0;0
Rudy Gobert;C;13;11;1;1;0
Tyrese Martin;SG;1;0;0;0;0
David Duke Jr.;SG;3;1;0;0;0
Udoka Azubuike;C;3;3;0;0;0
Kentavious Caldwell-Pope;SG;10;2;2;0;1
Isaiah Roby;PF;4;2;0;0;0
Richaun Holmes;C;3;1;0;0;0
Eric Gordon;SG;12;1;2;0;0
Justin Jackson;SF;0;0;0;0;0
Luguentz Dort;SG;13;4;2;0;1
Davon Reed;SG;1;0;0;0;0
Joel Embiid;C;33;10;4;1;1
Jalen Brunson;PG;24;3;6;0;0
Chris Duarte;SF;7;2;1;0;0
Xavier Tillman Sr.;PF;7;5;1;0;1
Max Strus;SF;11;3;2;0;0
LeBron James;PF;28;8;6;0;0
Miles McBride;PG;3;0;1;0;0
Cam Thomas;SG;10;1;1;0;0
Moussa Diabat�;PF;2;2;0;0;0
Marko Simonovic;C;0;0;0;0;0
RJ Barrett;SG;19;5;2;0;0
MarJon Beauchamp;SF;5;2;0;0;0
Larry Nance Jr.;PF;6;5;1;0;0
Olivier Sarr;C;4;3;0;0;0
Jeremy Sochan;PF;11;5;2;0;0
Ziaire Williams;SF;5;2;0;0;0
Jordan Clarkson;SG;20;4;4;0;0
Dewayne Dedmon;C;4;3;0;0;0
Steven Adams;C;8;11;2;1;0
Jaylin Williams;PF;5;4;1;0;0
Ish Wainright;SF;4;2;0;0;0
Gabe York;SG;8;2;1;0;0
Keon Ellis;SG;1;0;0;0;0
Jaden Ivey;SG;16;3;5;0;0
Will Barton;SG;5;1;1;0;0
D?vis Bert?ns;PF;4;1;0;0;0
Blake Griffin;C;4;3;1;0;0
Kenrich Williams;PF;8;4;2;0;0
Walker Kessler;C;9;8;0;2;0
Serge Ibaka;C;4;2;0;0;0
Daishen Nix;PG;4;1;2;0;0
Jordan Goodwin;PG;6;3;2;0;0
Keon Johnson;SG;4;1;1;0;0
Thanasis Antetokounmpo;SF;1;1;0;0;0
Jake LaRavia;PF;3;1;0;0;0
Jalen Johnson;SF;5;4;1;0;0
Xavier Sneed;SF;4;1;1;0;0
Xavier Cooks;PF;3;3;0;0;0
Reggie Jackson;PG;9;1;3;0;0
Giannis Antetokounmpo;PF;31;11;5;0;0
James Johnson;PF;2;1;0;0;0
Jock Landale;C;6;4;1;0;0
Cam Reddish;SF;9;1;1;0;0
George Hill;PG;5;1;1;0;0
Taj Gibson;C;3;1;0;0;0
Dylan Windler;SF;1;0;0;0;0
Johnny Juzang;SF;4;2;0;0;0
Carlik Jones;PG;2;0;0;0;0
Kris Dunn;PG;13;4;5;0;1
Killian Hayes;PG;10;2;6;0;1
Jayson Tatum;PF;30;8;4;0;1
Vince Williams Jr.;SG;2;1;0;0;0
Jonathan Kuminga;PF;9;3;1;0;0
Dereon Seabron;SG;0;0;0;0;0
Cade Cunningham;PG;19;6;6;0;0
Garrison Mathews;SG;4;1;0;0;0
Myles Turner;C;18;7;1;2;0
Julian Champagnie;SF;6;2;0;0;0
Coby White;SG;9;2;2;0;0
Malik Monk;SG;13;2;3;0;0
Trae Young;PG;26;3;10;0;1
Terance Mann;SG;8;3;2;0;0
Danny Green;SG;4;1;0;0;0
Ty Jerome;SG;6;1;3;0;0
Anthony Gill;PF;3;1;0;0;0
David Roddy;PF;6;2;0;0;0
Jordan Hall;SF;3;1;1;0;0
Tyus Jones;PG;10;2;5;0;1
Reggie Bullock;SF;7;3;1;0;0
Nassir Little;SF;6;2;0;0;0
Royce O'Neale;SF;8;5;3;0;0
Alperen �eng�n;C;14;9;3;0;0
Luka Garza;C;6;2;0;0;0
Jordan Poole;PG;20;2;4;0;0
Brandon Boston Jr.;SG;6;1;0;0;0
Xavier Moon;SG;1;0;1;0;0
Jaylen Nowell;SG;10;2;2;0;0
Keita Bates-Diop;SF;9;3;1;0;0
Michael Porter Jr.;SF;17;5;1;0;0
Stanley Johnson;SF;5;3;2;0;0
Buddy Hield;SF;16;5;2;0;1
Vit Krejci;PG;1;0;0;0;0
Gabe Vincent;PG;9;2;2;0;0
Monte Morris;PG;10;3;5;0;0
Ish Smith;PG;2;1;2;0;0
Anthony Lamb;SF;6;3;1;0;0
Justin Champagnie;SF;2;1;0;0;0
Admiral Schofield;PF;4;1;0;0;0
Jae'Sean Tate;SF;9;3;2;0;0
Alex Caruso;PG;5;2;2;0;1
Christian Braun;SG;4;2;0;0;0
Jarrett Culver;SG;4;3;0;0;0
JT Thor;PF;3;2;0;0;0
Moritz Wagner;C;10;4;1;0;0
Jaylen Brown;SF;26;6;3;0;1
Dorian Finney-Smith;PF;8;4;1;0;0
Jaxson Hayes;C;5;2;0;0;0
D'Angelo Russell;PG;17;2;6;0;0
Marcus Morris;PF;11;4;1;0;0
Ryan Rollins;PG;1;1;0;0;0
Desmond Bane;SG;21;5;4;0;1
Patrick Baldwin Jr.;SF;3;1;0;0;0
Isaiah Stewart;C;11;8;1;0;0
Matt Ryan;SF;3;0;0;0;0
Brandon Clarke;PF;10;5;1;0;0
Trendon Watford;PF;7;3;2;0;0
Tyrese Maxey;SG;20;2;3;0;0
Christian Wood;C;16;7;1;1;0
Hamidou Diallo;SG;9;3;1;0;0
Jakob Poeltl;C;12;9;2;1;0
Jabari Walker;SF;3;2;0;0;0
Darius Days;PF;3;1;0;0;0
Ochai Agbaji;SG;7;2;1;0;0
Cory Joseph;PG;6;1;3;0;0
Peyton Watson;SG;3;1;0;0;0
Shaedon Sharpe;SG;9;3;1;0;0
Joe Harris;SG;7;2;1;0;0
Corey Kispert;SF;11;2;1;0;0
Brook Lopez;C;15;6;1;2;0
T.J. Warren;PF;6;2;0;0;0
Paolo Banchero;PF;20;6;3;0;0
Frank Ntilikina;PG;2;1;1;0;0
Cameron Payne;PG;10;2;4;0;0
Doug McDermott;SF;10;2;1;0;0
Jarred Vanderbilt;PF;7;6;1;0;1
Ivica Zubac;C;10;9;1;1;0
Saddiq Bey;SF;12;4;1;0;0
LaMelo Ball;PG;23;6;8;0;1
Jacob Gilyard;PG;3;4;7;0;3
Kessler Edwards;SF;2;1;0;0;0
Darius Bazley;PF;4;2;0;0;0
Boban Marjanovi?;C;3;1;0;0;0
Trent Forrest;PG;2;1;1;0;0
Jaren Jackson Jr.;C;18;6;1;3;1
Terry Taylor;PF;2;1;0;0;0
Jamal Murray;PG;20;4;6;0;1
Quentin Grimes;SG;11;3;2;0;0
Mitchell Robinson;C;7;9;0;1;0
Omer Yurtseven;C;4;2;0;0;0
Isaiah Todd;PF;1;2;0;0;0
Dillon Brooks;SF;14;3;2;0;0
Jack White;SF;1;1;0;0;0
Skylar Mays;SG;15;3;8;0;1
Jordan Nwora;SF;9;3;1;0;0
Mason Plumlee;C;9;7;2;0;0
Lester Quinones;SG;2;0;0;0;0
PJ Dozier;SG;1;0;0;0;0
Saben Lee;PG;5;1;1;0;0
Keegan Murray;SF;12;4;1;0;0
Jevon Carter;PG;8;2;2;0;0
Jeff Green;PF;7;2;1;0;0
Nicolas Batum;PF;6;3;1;0;0
Donovan Williams;SG;2;1;0;0;0
OG Anunoby;SF;16;5;2;0;1
Sterling Brown;SG;0;2;0;0;0
Sandro Mamukelashvili;C;6;4;1;0;0
Kristaps Porzi??is;C;23;8;2;1;0
Tre Mann;PG;7;2;1;0;0
P.J. Washington;PF;15;4;2;1;0
Paul Reed;C;4;3;0;0;0
Kendall Brown;SG;1;1;0;0;0
Simone Fontecchio;SF;6;1;0;0;0
Kevon Looney;C;7;9;2;0;0
Mfiondu Kabengele;PF;1;2;0;0;0
Aaron Wiggins;SG;6;3;1;0;0
Dalano Banton;PG;4;1;1;0;0
JaVale McGee;C;4;2;0;0;0
Daniel Gafford;C;9;5;1;1;0
Yuta Watanabe;SF;5;2;0;0;0
Dean Wade;PF;4;3;0;0;0
DeMar DeRozan;SF;24;4;5;0;1
Dalen Terry;SG;2;1;0;0;0
Jose Alvarado;PG;9;2;3;0;1
Bones Hyland;PG;11;2;3;0;0
Tyler Dorsey;SG;3;0;0;0;0
Mikal Bridges;SF;21;4;2;0;1
Terrence Ross;SG;8;2;1;0;0
Isaac Okoro;SF;6;2;1;0;0
Patty Mills;PG;6;1;1;0;0
Dominick Barlow;SF;3;3;0;0;0
Paul George;SG;23;6;5;0;1
Andrew Nembhard;SG;9;2;4;0;0
Jae Crowder;SF;6;3;1;0;0
Pat Connaughton;SG;7;4;1;0;0
Lindy Waters III;SG;5;1;0;0;0
Troy Brown Jr.;SF;7;4;1;0;0
Fred VanVleet;PG;19;4;7;0;1
Buddy Boeheim;PG;1;0;0;0;0
